Sample,total_abundance,gut_locations
BKDN170793833-1A,595.001234,Feces
BKDN170793835-1A,803.436458,Feces
BKDN170793836-1A,1342.563451,Feces
BKDN170793837-1A,903.10537,Feces
BKDN170793838-1A,957.75447,Feces
BKDN170793839-1A,776.359839,Feces
BKDN170793840-1A,1321.260394,Feces
BKDN170793891-1A,796.228503,Feces
BKDN170793892-1A,499.60670500000003,Feces
BKDN170793893-1A,1124.294841,Feces
BKDN170793894-1A,979.086094,Feces
BKDN170793895-1A,705.648106,Feces
BKDN170793896-1A,868.454696,Feces
BKDN170793898-1A,589.650534,Feces
BKDN170793899-1A,838.55557,Feces
BKDN170793901-1A,819.605274,Feces
BKDN170793902-1A,567.539508,Feces
BKDN170793903-1A,713.735703,Feces
BKDN170793904-1A,653.599846,Feces
BKDN170793906-1A,817.710557,Feces
BKDN170793907-1A,707.795347,Feces
BKDN170793908-1A,781.2929780000001,Feces
BKDN170793909-1A,671.619156,Feces
BKDN170793993-1A,884.491403,Feces
BKDN170793994-1A,878.425241,Feces
BKDN170793995-1A,892.733885,Feces
BKDN170793998-1A,563.400417,Feces
BKDN170794001-1A,626.006019,Feces
BKDN170794002-1A,630.068172,Feces
BKDN170794054-1A,903.742687,Feces
BKDN170794056-1A,464.237331,Feces
BKDN170794057-1A,624.350286,Feces
BKDN170794058-1A,942.70911,Feces
BKDN170794064-1A,534.231224,Feces
BKDN170794065-1A,622.333146,Feces
BKDN170794066-1A,692.059656,Feces
BKDN170794067-1A,895.724813,Feces
BKDN170794068-1A,590.457576,Feces
BKDN170794148-1A,1020.000058,Feces
BKDN170794149-1A,707.835344,Feces
BKDN170794152-1A,646.949809,Feces
BKDN170794156-1A,168.340102,Feces
BKDN170794158-1A,700.202122,Feces
BKDN170794159-1A,564.144049,Feces
BKDN170794160-1A,664.116418,Feces
BKDN170794161-1A,545.176111,Feces
BKDN170794163-1A,471.80773,Feces
BKDN170794164-1A,578.807243,Feces
BKDN170794165-1A,564.094012,Feces
BKDN170794228-1A,562.980331,Feces
BKDN170794322-1A,572.557573,Feces
BKDN170794326-1A,886.257126,Feces
BKDN170794327-1A,918.471179,Feces
BKDN170794329-1A,548.886898,Feces
BKDN170794330-1A,731.770843,Feces
BKDN170794331-1A,584.919096,Feces
BKDN170794385-1A,485.347009,Feces
BKDN170794387-1A,608.562716,Feces
BKDN170794392-1A,622.110186,Feces
BKDN170794393-1A,471.10425299999997,Feces
BKDN170794394-1A,284.298677,Feces
BKDN170794480-1A,492.82056800000004,Feces
BKDN170794548-1A,555.847492,Feces
